click_count,grade,link,location,name,show_time,type
5509,7.3,magnet:?xt=urn:btih:6292c2d5d63d6a9c9a5bfafdeb0b595201de74a2&dn=[电影天堂www.dytt89.com]米纳里-2020_BD中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,美国,2020年美国7.3分剧情片《米纳里》BD中英双字,2020-01-26(圣丹斯电影节)/2021-02-12(美国)/2021-02-26(美国网络),剧情
12518,7.5,magnet:?xt=urn:btih:d836e530d856d41bc4410634bcde289a265ccbf2&dn=[电影天堂www.dytt89.com]寻龙传说-2021_BD中英双字V2.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,美国,2021年美国7.5分奇幻动画片《寻龙传说》BD中英双字,2021-03-05(中国大陆/美国),动画/奇幻/冒险
1453,7.1,magnet:?xt=urn:btih:6835a47849c56cf9a431c1cbb903eece18735f33&dn=[电影天堂www.dytt89.com]人潮汹涌-2021_HD国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,中国大陆,2021年国产7.1分喜剧犯罪片《人潮汹涌》HD国语中字,2021-02-12(中国大陆),喜剧/犯罪
1424,7.4,magnet:?xt=urn:btih:f01af73f99c5bc1d87827156a95096504c86367a&dn=[电影天堂www.dytt89.com]关于无尽-2019_BD瑞典语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,瑞典/德国/挪威,2019年瑞典7.4分剧情片《关于无尽》BD瑞典语中字,2019-09-03(威尼斯电影节)/2019-11-15(瑞典),剧情
1820,7.0,magnet:?xt=urn:btih:f269992eb6cf6ad253c75a42739f44d1b02432b4&dn=[电影天堂www.dytt89.com]刺杀小说家-2021_HD国语中字V2.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,中国大陆,2021年国产7.0分动作奇幻片《刺杀小说家》HD国语中字,2021-02-12(中国大陆),动作/奇幻/冒险
90131,9.3,magnet:?xt=urn:btih:5b3104f369d86d11e656987fb4d8b5b99d6c76a4&dn=[电影天堂www.dytt89.com]心灵奇旅-2020_BD国英双语特效中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,美国,2020年美国9.3分动画片《心灵奇旅》BD国英双语特效中英双字,2020-12-25(中国大陆/美国网络)/2020-10-11(伦敦电影节),动画/喜剧/音乐/奇幻/冒险
1738,7.6,magnet:?xt=urn:btih:7ce7a28b26f7f72789ab790eade4272ba9099900&dn=[电影天堂www.dytt89.com]兰心大剧院-2019_HD国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,中国大陆,2019年国产巩俐赵又廷剧情片《兰心大剧院》HD国语中字,2019-09-04(威尼斯电影节),剧情
3079,6.7,magnet:?xt=urn:btih:1cac78fd9cae1a384cbb3179a5d6ab7d9396350c&dn=[电影天堂www.dytt89.com]哥斯拉大战金刚-2021_BD中英双字V2字幕精译版.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,美国/澳大利亚,2021年欧美6.7分动作科幻片《哥斯拉大战金刚》BD中英双字,2021-03-26(中国大陆)/2021-03-24(中国台湾)/2021-03-31(美国),动作/科幻/冒险
1564,8.3,magnet:?xt=urn:btih:d2cbcd17feeb04d4f5834e211f5f65c4816f28ce&dn=[电影天堂www.dytt89.com]浅田家！-2020_BD日语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,日本,2020年日本8.3分剧情家庭片《浅田家！》BD日语中字,2020-10-02(日本),剧情/家庭
14081,7.1,magnet:?xt=urn:btih:9d3ae0c83e58a260e45fb525f9341da00848c11d&dn=[电影天堂www.dytt89.com]缉魂-2021_HD国语中字无删减版.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,中国大陆/中国台湾,2021年国产张震科幻悬疑片《缉魂》HD国语中字无删减版,2021-01-15(中国大陆)/2021-01-29(中国台湾)/2021-01-08(大规模点映),科幻/悬疑/惊悚/犯罪
2307,7.4,magnet:?xt=urn:btih:89847e3934f8a5ccdff2cd0e74bb1c6d17a24641&dn=[电影天堂www.dytt89.com]新神榜：哪吒重生-2021_HD国粤双语中字.mkv&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,中国大陆,2021年国产7.4分奇幻动画《新神榜：哪吒重生》HD国粤双语中字,2021-02-12(中国大陆),动作/动画/奇幻
1373,7.9,magnet:?xt=urn:btih:ef6006794b90b446ce8a55957b2aa26c76388642&dn=[电影天堂www.dytt89.com]小人物-2021_BD中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,美国,2021年美国7.9分动作犯罪片《小人物》BD中英双字,2021-03-26(美国),动作/犯罪
